variable,origen,rol,fuente,momento,disponible_T0,uso_pd,racional,uso_oficial,transformacion,imputacion,encoding,riesgo_leakage,uso_final
bureau_score,Original del dataset,Buró,Consulta a buró en T0,T0,Sí,Candidata,3.3% sin score (thin-file): el faltante es informativo y NO excluye.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV + indicador flag_sin_buro,No aplica (numérica),"Bajo, siempre que la consulta se archive con la fecha de la solicitud",Modelo PD
prior_delinquencies_24m,Original del dataset,Buró,Consulta a buró en T0,T0,Sí,Candidata,Historial de mora de los 24 meses previos a T0.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD
bureau_inquiries_6m,Original del dataset,Buró,Consulta a buró en T0,T0,Sí,Candidata,Consultas previas a T0 (sin contar la consulta de esta solicitud).,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Medio: debe excluir la consulta generada por esta misma solicitud,Modelo PD
active_loans,Original del dataset,Buró,Consulta a buró en T0,T0,Sí,Candidata,Obligaciones vigentes en T0.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD
monthly_debt_payment,Original del dataset,Buró,Consulta a buró en T0,T0,Sí,Candidata,Cuota de deudas existentes; no incluye la cuota del crédito solicitado.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD
dti,Original del dataset,Derivada,Buró / ingreso declarado,T0,Sí,Candidata,= monthly_debt_payment / monthly_income. No incluye la nueva cuota.,Si,"Winsorización p1-p99 (topes ajustados en DEV); se complementa con dti_post, que sí incluye la cuota nueva",Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD
savings_balance,Original del dataset,Interno,Core de ahorros / declarado,T0,Sí,Candidata,7.7% faltante.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV + indicador flag_sin_ahorro,No aplica (numérica),Bajo: medida en T0,Modelo PD
new_customer_flag,Original del dataset,Interno,CRM,T0,Sí,Candidata,Relación previa con la Caja.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD
relationship_months,Original del dataset,Interno,CRM,T0,Sí,Candidata,0 para clientes nuevos (consistente); 205 casos exceden la edad adulta.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD
requested_amount,Original del dataset,Solicitud,Declarado,T0,Sí,Candidata,Monto solicitado (no el aprobado).,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),"Bajo: es el monto solicitado; si hay contraoferta, el score se recalcula",Modelo PD
term_months,Original del dataset,Solicitud,Declarado,T0,Sí,Candidata,Supuesto: plazo solicitado/propuesto antes de la decisión (existe también en rechazados).,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),"Bajo: es el plazo solicitado; si hay contraoferta, el score se recalcula",Modelo PD
annual_interest_rate_offer,Original del dataset,Política,Motor de pricing histórico,T0 (output de política),Sí,Excluida,Endógena: resulta de la evaluación de riesgo previa (corr. Spearman -0.43 con bureau_score).,Condicional,No se transforma,No aplica,No aplica,Alto: incorpora la evaluación de riesgo de la política anterior,Solo análisis de pricing
collateral_value,Original del dataset,No aplica,-,-,No,No,100% vacío: producto sin garantía.,Si,No se transforma,No aplica,No aplica,No aplica,Descartada: 100% vacía en este producto
ltv,Original del dataset,No aplica,-,-,No,No,100% vacío: producto sin garantía.,Si,No se transforma,No aplica,No aplica,No aplica,Descartada: 100% vacía en este producto
credit_limit,Original del dataset,No aplica,-,-,No,No,100% vacío: producto no revolvente.,Si,No se transforma,No aplica,No aplica,No aplica,Descartada: 100% vacía en este producto
balance_at_observation,Original del dataset,No aplica,-,-,No,No,100% vacío: producto no revolvente.,Si,No se transforma,No aplica,No aplica,No aplica,Descartada: 100% vacía en este producto
utilization_at_observation,Original del dataset,No aplica,-,-,No,No,100% vacío: producto no revolvente.,Si,No se transforma,No aplica,No aplica,No aplica,Descartada: 100% vacía en este producto
undrawn_amount_at_observation,Original del dataset,No aplica,-,-,No,No,100% vacío: producto no revolvente.,Si,No se transforma,No aplica,No aplica,No aplica,Descartada: 100% vacía en este producto
distance_to_branch_km,Original del dataset,Solicitud,Geocodificación de la dirección,T0,Sí,Candidata (fairness),Proxy de ruralidad/territorio; más relevante para costo de servir y cobranza.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD sujeto a revisión de discriminación indirecta
household_dependents,Original del dataset,Solicitud,Declarado,T0,Sí,Candidata (fairness),Proxy de situación familiar.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD sujeto a revisión de discriminación indirecta
cash_income_share,Original del dataset,Solicitud,Declarado / evaluación del asesor,T0,Sí,Candidata (fairness),Proxy de informalidad: no debe penalizar por sí misma sin evidencia de riesgo (objetivo del caso).,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD sujeto a revisión de discriminación indirecta
approved_flag,Original del dataset,Decisión,Decisión histórica,Post-decisión,No,No,Resultado de la decisión que el modelo busca reemplazar; genera sesgo de selección.,No para PD,No se transforma,No aplica,No aplica,Crítico: es la decisión que el modelo debe reemplazar,Solo análisis de sesgo de selección
outcome_available_flag,Original del dataset,Filtro,Performance,T0+12m,No,Filtro,Filtro obligatorio de población PD (=1).,Filtro,No se transforma,No aplica,No aplica,Posterior a la decisión,Filtro de población PD
default_12m_flag,Original del dataset,Target PD,Performance,T0+12m,No,Target,"90+ DPD en (T0, T0+12m].",Target,No se transforma,No aplica,No aplica,Es el target (T0 + 12m),Variable objetivo del modelo PD
ead_at_default,Original del dataset,Post-default,Performance,Fecha de default,No,No,Exposición al default.,Target EAD,No se transforma,No aplica,No aplica,Crítico: se conoce después del incumplimiento,No usar en PD; insumo de exposición
balance_at_default,Original del dataset,Post-default,Performance,Fecha de default,No,No,Idéntica a ead_at_default en el 100% de defaults.,No para PD; EAD,No se transforma,No aplica,No aplica,Crítico: se conoce después del incumplimiento,No usar en PD; insumo de exposición
ccf_observed,Original del dataset,No aplica,-,-,No,No,100% vacío: producto no revolvente.,Target/auxiliar EAD,No se transforma,No aplica,No aplica,No aplica,Descartada: 100% vacía en este producto
recovery_amount_total,Original del dataset,Post-default,Workout,Post-default,No,No,Recuperaciones.,No para PD; LGD,No se transforma,No aplica,No aplica,Crítico: se conoce después del incumplimiento,No usar en PD; insumo de severidad
recovery_cost_total,Original del dataset,Post-default,Workout,Post-default,No,No,Costos de recuperación.,No para PD; LGD,No se transforma,No aplica,No aplica,Crítico: se conoce después del incumplimiento,No usar en PD; insumo de severidad
months_to_recovery,Original del dataset,Post-default,Workout,Post-default,No,No,Tiempo de workout.,No para PD; LGD,No se transforma,No aplica,No aplica,Crítico: se conoce después del incumplimiento,No usar en PD; insumo de severidad
lgd_observed,Original del dataset,Post-default,Workout,Post-default,No,No,Severidad observada.,Target LGD,No se transforma,No aplica,No aplica,Crítico: se conoce después del incumplimiento,No usar en PD; insumo de severidad
cuota_estimada,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Insumo,Cuota mensual del crédito solicitado. Es el insumo de todas las medidas de capacidad de pago.,No aplica (no está en el diccionario oficial),"monto * r / (1 - (1+r)^-plazo), con r = (1+TEA_ref)^(1/12) - 1",Mediana de DEV,No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Insumo (no predictor)
ingreso_verificable,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Insumo,"Parte del ingreso con trazabilidad (depósitos, transferencias). En un cliente rural informal es lo único que la Caja puede sustentar ante una revisión.",No aplica (no está en el diccionario oficial),monthly_income * (1 - cash_income_share),Mediana de DEV,No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Insumo (no predictor)
dti_post,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Candidata,"Carga de deuda total si se aprueba el crédito. El `dti` del dataset solo mide la deuda vigente e ignora la cuota nueva, que es justo lo que decide la aprobación.",No aplica (no está en el diccionario oficial),(monthly_debt_payment + cuota_estimada) / monthly_income,Mediana de DEV,No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Predictor y regla de política
dti_post_verificable,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Candidata,"Versión exigente del DTI: mide la carga contra el ingreso sustentable. Penaliza al cliente cuya capacidad depende de efectivo no verificable, sin excluirlo por ser informal.",No aplica (no está en el diccionario oficial),"(monthly_debt_payment + cuota_estimada) / ingreso_verificable, acotado a 10",Mediana de DEV,No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Predictor
excedente_per_capita,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Candidata,Excedente mensual por miembro del hogar tras pagar todas las cuotas. Es la métrica clásica de microfinanzas: dos clientes con igual DTI no tienen la misma holgura si uno mantiene a 5 personas.,No aplica (no está en el diccionario oficial),(monthly_income - monthly_debt_payment - cuota_estimada) / (1 + household_dependents),Mediana de DEV,No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Predictor
colchon_ahorro_meses,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Candidata,Cuántas cuotas podría pagar el cliente con sus ahorros si su ingreso se interrumpe. Clave en un producto con ingreso estacional (una mala cosecha).,No aplica (no está en el diccionario oficial),savings_balance / cuota_estimada,Mediana de DEV,No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Predictor
ahorro_sobre_monto,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Candidata,Capacidad de ahorro frente al tamaño del crédito pedido. Señal de disciplina financiera y de que el monto solicitado es proporcional al cliente.,No aplica (no está en el diccionario oficial),savings_balance / requested_amount,Mediana de DEV,No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Predictor
deuda_por_obligacion,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Candidata,Cuota promedio por obligación vigente. Separa al cliente con varias deudas chicas del que tiene una deuda grande con el mismo pago total.,No aplica (no está en el diccionario oficial),monthly_debt_payment / (1 + active_loans),Mediana de DEV,No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Predictor
intensidad_busqueda,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Candidata,"Consultas al buró por obligación vigente. Muchas consultas sin deudas nuevas sugieren búsqueda activa de crédito, señal temprana de estrés de liquidez.",No aplica (no está en el diccionario oficial),bureau_inquiries_6m / (1 + active_loans),Mediana de DEV,No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Predictor
antiguedad_relativa,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Candidata,Qué proporción de su vida laboral posible lleva el cliente en la actividad actual. Normaliza la antigüedad por edad: 24 meses valen distinto a los 20 que a los 55 años. El tope en 1 corrige de paso las 100 inconsistencias detectadas en 6.3.,No aplica (no está en el diccionario oficial),"employment_tenure_months / ((age - 14) * 12), acotado a 1",Mediana de DEV,No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Predictor
campana_siembra,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Candidata,"Marca las originaciones de la campaña agrícola grande (siembra), cuyo repago depende de una cosecha aún no realizada. El default por mes de originación es más alto en ese tramo.",No aplica (no está en el diccionario oficial),1 si el mes de observation_date está entre setiembre y diciembre,Mediana de DEV,No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Predictor
flag_sin_buro,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Candidata,"Cliente thin-file. El faltante es informativo (perfil sin historial), no un error: el modelo debe poder distinguirlo en lugar de recibir un valor imputado indistinguible de un score real.",No aplica (no está en el diccionario oficial),1 si bureau_score es nulo,No aplica (sin faltantes),No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Predictor (indicador de faltante)
flag_sin_ingreso,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Candidata,Sin ingreso declarado no hay capacidad de pago calculable; en política obliga a verificación en campo.,No aplica (no está en el diccionario oficial),1 si monthly_income es nulo,No aplica (sin faltantes),No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Predictor (indicador de faltante)
flag_sin_ahorro,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Candidata,Distingue al cliente sin producto de ahorro en la Caja del que tiene saldo cero.,No aplica (no está en el diccionario oficial),1 si savings_balance es nulo,No aplica (sin faltantes),No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Predictor (indicador de faltante)
